source_gene_symbol	source_gene_symbol	target_gene_symbol	value
GNAS	GNAS	TES	-0.21038961039
LSM5	LSM5	TES	-0.466462948816
PNP	PNP	TES	-0.727731092437
IFRD2	IFRD2	TES	-0.517799847212
DDIT4	DDIT4	TES	-0.0545454545455
TSC22D3	TSC22D3	TES	0.410542398778
CREG1	CREG1	TES	0.377540106952
CTSD	CTSD	TES	0.516883116883
TXNRD1	TXNRD1	TES	0.517188693659
TRIB3	TRIB3	TES	0.459129106188
TUBB6	TUBB6	TES	-0.591749427044
GAPDH	GAPDH	TES	0.342704354469
VDAC1	VDAC1	CTSD	-0.381207028266
DNAJA3	DNAJA3	CTSD	0.566386554622
ACLY	ACLY	CTSD	-0.488770053476
APP	APP	CTSD	0.694117647059
HSPA8	HSPA8	CTSD	-0.449656226127
PCNA	PCNA	CTSD	-0.509854851031
HSPB1	HSPB1	CTSD	0.698701298701
SNAP25	SNAP25	CTSD	-0.0154316271963
CDC20	CDC20	CTSD	-0.789457601222
SQSTM1	SQSTM1	CTSD	0.715202444614
TLR4	TLR4	CTSD	-0.209778456837
BTK	BTK	CTSD	0.186860198625
GNAS	GNAS	CTSD	0.11077158136
LSM5	LSM5	CTSD	-0.316119174943
PNP	PNP	CTSD	-0.740565317036
IFRD2	IFRD2	CTSD	-0.648892284186
DDIT4	DDIT4	CTSD	0.181359816654
TSC22D3	TSC22D3	CTSD	0.65103132162
CREG1	CREG1	CTSD	0.570664629488
TES	TES	CTSD	0.516883116883
TXNRD1	TXNRD1	CTSD	0.713674560733
TRIB3	TRIB3	CTSD	0.560275019099
TUBB6	TUBB6	CTSD	-0.616501145913
GAPDH	GAPDH	CTSD	0.449656226127
VDAC1	VDAC1	TXNRD1	-0.0505729564553
DNAJA3	DNAJA3	TXNRD1	0.40076394194
ACLY	ACLY	TXNRD1	-0.342093200917
APP	APP	TXNRD1	0.817876241406
HSPA8	HSPA8	TXNRD1	-0.37448433919
PCNA	PCNA	TXNRD1	-0.342704354469
HSPB1	HSPB1	TXNRD1	0.814514896868
SNAP25	SNAP25	TXNRD1	-0.215889992361
CDC20	CDC20	TXNRD1	-0.562108479756
SQSTM1	SQSTM1	TXNRD1	0.937662337662
TLR4	TLR4	TXNRD1	-0.205805958747
BTK	BTK	TXNRD1	-0.234530175707
GNAS	GNAS	TXNRD1	0.453628724217
LSM5	LSM5	TXNRD1	-0.19602750191
PNP	PNP	TXNRD1	-0.574942704354
IFRD2	IFRD2	TXNRD1	-0.596638655462
DDIT4	DDIT4	TXNRD1	0.498242933537
TSC22D3	TSC22D3	TXNRD1	0.848128342246
CREG1	CREG1	TXNRD1	0.789152024446
TES	TES	TXNRD1	0.517188693659
CTSD	CTSD	TXNRD1	0.713674560733
TRIB3	TRIB3	TXNRD1	0.312452253629
TUBB6	TUBB6	TXNRD1	-0.352482811306
GAPDH	GAPDH	TXNRD1	0.653170359053
VDAC1	VDAC1	TRIB3	-0.574942704354
DNAJA3	DNAJA3	TRIB3	0.52910618793
ACLY	ACLY	TRIB3	-0.487242169595
APP	APP	TRIB3	0.530634071811
HSPA8	HSPA8	TRIB3	-0.630557677617
PCNA	PCNA	TRIB3	-0.527883880825
HSPB1	HSPB1	TRIB3	0.357066462949
SNAP25	SNAP25	TRIB3	0.225057295646
CDC20	CDC20	TRIB3	-0.545301757066
SQSTM1	SQSTM1	TRIB3	0.364094728801
TLR4	TLR4	TRIB3	-0.122383498854
BTK	BTK	TRIB3	0.230557677617
GNAS	GNAS	TRIB3	-0.233919022154
LSM5	LSM5	TRIB3	-0.35614973262
PNP	PNP	TRIB3	-0.7179526356
IFRD2	IFRD2	TRIB3	-0.353093964859
DDIT4	DDIT4	TRIB3	-0.0750190985485
TSC22D3	TSC22D3	TRIB3	0.38090145149
CREG1	CREG1	TRIB3	0.345454545455
TES	TES	TRIB3	0.459129106188
CTSD	CTSD	TRIB3	0.560275019099
TXNRD1	TXNRD1	TRIB3	0.312452253629
TUBB6	TUBB6	TRIB3	-0.748510313216
GAPDH	GAPDH	TRIB3	0.318869365928
VDAC1	VDAC1	TUBB6	0.809014514897
DNAJA3	DNAJA3	TUBB6	-0.686783804431
ACLY	ACLY	TUBB6	0.68128342246
APP	APP	TUBB6	-0.505271199389
HSPA8	HSPA8	TUBB6	0.50435446906
PCNA	PCNA	TUBB6	0.660504201681
HSPB1	HSPB1	TUBB6	-0.313063407181
SNAP25	SNAP25	TUBB6	-0.405958747135
CDC20	CDC20	TUBB6	0.723147440794
SQSTM1	SQSTM1	TUBB6	-0.34025974026
TLR4	TLR4	TUBB6	-0.130939648587
BTK	BTK	TUBB6	-0.554163483575
GNAS	GNAS	TUBB6	0.34025974026
LSM5	LSM5	TUBB6	0.620779220779
PNP	PNP	TUBB6	0.817876241406
IFRD2	IFRD2	TUBB6	0.642475171887
DDIT4	DDIT4	TUBB6	0.282811306341
TSC22D3	TSC22D3	TUBB6	-0.300229182582
CREG1	CREG1	TUBB6	-0.308785332315
TES	TES	TUBB6	-0.591749427044
CTSD	CTSD	TUBB6	-0.616501145913
TXNRD1	TXNRD1	TUBB6	-0.352482811306
TRIB3	TRIB3	TUBB6	-0.748510313216
GAPDH	GAPDH	TUBB6	-0.191138273491
VDAC1	VDAC1	GAPDH	0.203666921314
DNAJA3	DNAJA3	GAPDH	0.434377387319
